Variable,Median Target 0,Median Target 1,Mann-Whitney U,p-value
Vitamin D,25.27,17.0,18288.5,1.363600033879232e-11
Aspartat Aminotransferaz (AST),20.0,16.5,16968.5,2.3790966215241395e-07
Lean Mass (LM) (%),73.93,68.78999999999999,16066.0,4.840835270978151e-05
Total Body Fat Ratio (TBFR) (%),25.8,31.05,9376.0,4.941676693898651e-05
High Density Lipoprotein (HDL),45.0,47.5,10150.5,0.0018124956845787207
Visceral Fat Area (VFA),10.6,12.485,10418.5,0.005228238491184244
Body Mass Index (BMI),27.7,29.15,10940.0,0.030813307488774345
Alkaline Phosphatase (ALP),69.0,73.0,11041.5,0.0417015345978825
Total Body Water (TBW),41.6,38.25,14262.0,0.06108655372066666
Body Protein Content (Protein) (%),16.13,15.61,14253.0,0.06261421816660184
Muscle Mass (MM),55.2,52.25,13985.0,0.12440601509778115
Low Density Lipoprotein (LDL),125.0,119.0,13901.0,0.1513955466471472
Alanin Aminotransferaz (ALT),21.0,18.0,13763.0,0.2047994643897647
Glucose,99.0,97.0,13638.5,0.2642649403176385
Age,49.0,50.0,12093.0,0.4473568950440825
Triglyceride,119.0,118.5,12971.0,0.7600846786465956
Total Cholesterol (TC),199.0,198.0,12860.5,0.864062519808781
Visceral Fat Rating (VFR),9.0,9.0,12727.0,0.9927124003465237
