Feature,VIF
Lean Mass (LM) (%),97.53888262428194
Total Body Fat Ratio (TBFR) (%),92.29015297156833
Visceral Fat Rating (VFR),18.4167483953144
Visceral Fat Area (VFA),16.65265819694533
Muscle Mass (MM),11.186723788030854
Body Mass Index (BMI),10.083435105761541
Total Body Water (TBW),9.8203317336441
Gender,7.981886184205884
Total Cholesterol (TC),7.22479653122599
Low Density Lipoprotein (LDL),5.764707511585403
Age,4.683675175117348
Alanin Aminotransferaz (ALT),4.289540656871904
Aspartat Aminotransferaz (AST),3.952854007670675
Body Protein Content (Protein) (%),2.5084064700455126
Triglyceride,2.135862919442214
Comorbidity,2.052690168107154
Diabetes Mellitus (DM),1.884900880135616
High Density Lipoprotein (HDL),1.803717150542118
Glucose,1.452427838288448
Coronary Artery Disease (CAD),1.370974781699484
Alkaline Phosphatase (ALP),1.2058826571051056
Hyperlipidemia,1.1437959830808921
Vitamin D,1.1077987383380363
